"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"21-0006304","0","02/03/2021","15:04:37","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","400 ","Residential, Other                                ","1630    ","  ","COMMONWEALTH             ","  ","AVE ",": #AFA5247                              ","  ","                         ","  ","    "
"21-0006306","0","02/03/2021","15:32:00","113 ","Cooking fire, confined to container               ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","44      ","  ","MORA                     ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006308","0","02/03/2021","15:39:51","600 ","Good intent call, Other                           ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","460 ","Dormitory-type residence, other                   ","800     ","  ","HYDE PARK                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006309","0","02/03/2021","15:44:11","440 ","Electrical  wiring/equipment problem, Other       ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","961 ","Highway or divided highway                        ","        ","  ","CHARME                   ","  ","AVE ","                                        ","  ","TOPPAN                   ","  ","AVE "
"21-0006311","0","02/03/2021","15:45:37","511 ","Lock-out                                          ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","882 ","Parking garage, general vehicle                   ","22      ","  ","VAN NESS                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006316","0","02/03/2021","16:05:16","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","635 ","Computer center                                   ","21-27   ","  ","BURLINGTON               ","  ","AVE ",": #14-2327                              ","  ","                         ","  ","    "
"21-0006318","0","02/03/2021","16:12:05","522 ","Water or steam leak                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","180     ","  ","TELFORD                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006319","0","02/03/2021","16:20:03","600 ","Good intent call, Other                           ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","460 ","Dormitory-type residence, other                   ","6       ","  ","BISMARCK                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006320","0","02/03/2021","16:20:14","552 ","Police matter                                     ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","960 ","Street, Other                                     ","        ","  ","GERARD                   ","  ","ST  ","                                        ","  ","ISLAND                   ","  ","ST  "
"21-0006326","0","02/03/2021","16:43:58","552 ","Police matter                                     ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02203     ","900 ","Outside or special property, Other                ","55      ","  ","COURT                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006327","0","02/03/2021","16:46:42","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","241 ","Adult education center, college classroom         ","300     ","  ","FENWAY                   ","  ","    ",": @COL-SIMMONS COLLEGE                  ","  ","                         ","  ","    "
"21-0006330","0","02/03/2021","16:49:55","522 ","Water or steam leak                               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02122     ","500 ","Mercantile, business, Other                       ","12      ","  ","STURTEVANT               ","  ","ST  ",": #WYN4628                              ","  ","                         ","  ","    "
"21-0006331","0","02/03/2021","16:52:34","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","960 ","Street, Other                                     ","268     ","  ","WARREN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006333","0","02/03/2021","17:12:13","553 ","Public service                                    ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","419 ","1 or 2 family dwelling                            ","5       ","  ","FURBUSH                  ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0006338","0","02/03/2021","17:44:47","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","52-58   ","  ","FRANKLIN HILL            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006339","0","02/03/2021","17:48:56","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","419 ","1 or 2 family dwelling                            ","2-4     ","  ","GRANVILLE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006340","0","02/03/2021","17:51:00","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","400 ","Residential, Other                                ","235     ","  ","FOSTER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006341","0","02/03/2021","17:51:41","111 ","Building fire                                     ","8000.0000","2000.0000","09   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","1990    ","  ","COLUMBUS                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006344","0","02/03/2021","18:01:19","553 ","Public service                                    ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","419 ","1 or 2 family dwelling                            ","22      ","  ","WOODRUFF                 ","  ","WAY ","                                        ","  ","                         ","  ","    "
"21-0006345","0","02/03/2021","18:05:24","553 ","Public service                                    ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","83      ","  ","EUTAW                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006347","0","02/03/2021","18:20:19","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","180     ","  ","TELFORD                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006349","0","02/03/2021","18:41:48","714 ","Central station, malicious false alarm            ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","387     ","  ","TALBOT                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006353","0","02/03/2021","18:59:19","553 ","Public service                                    ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02127     ","952 ","Railroad yard                                     ","875     ","  ","COLUMBIA                 ","  ","RD  ",": @MBTA STA-JFK / UMASS                 ","  ","                         ","  ","    "
"21-0006354","0","02/03/2021","19:08:58","553 ","Public service                                    ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","174 ","Rapid transit station                             ","561     ","  ","DORCHESTER               ","  ","AVE ",": @MBTA STA-ANDREW                      ","  ","                         ","  ","    "
"21-0006355","0","02/03/2021","19:31:35","553 ","Public service                                    ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","200 ","Educational, Other                                ","250     ","  ","NEW RUTHERFORD           ","  ","AVE ",": @COL-BUNKER HILL COMMUNITY COLLEGE    ","  ","                         ","  ","    "
"21-0006356","0","02/03/2021","19:32:28","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","419 ","1 or 2 family dwelling                            ","605     ","  ","HARRISON                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006357","0","02/03/2021","19:42:01","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02122     ","    ","","3       ","  ","TOLEDO                   ","  ","TER ","                                        ","  ","                         ","  ","    "
"21-0006358","0","02/03/2021","20:12:29","553 ","Public service                                    ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","400 ","Residential, Other                                ","35      ","  ","B                        ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006360","0","02/03/2021","20:19:49","113 ","Cooking fire, confined to container               ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02121     ","439 ","Boarding/rooming house, residential hotels        ","570     ","  ","WARREN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006361","0","02/03/2021","20:29:43","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","460 ","Dormitory-type residence, other                   ","125     ","  ","AMORY                    ","  ","ST  ",": @BHA-AMORY                            ","  ","                         ","  ","    "
"21-0006362","0","02/03/2021","20:36:57","151 ","Outside rubbish, trash or waste fire              ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","900 ","Outside or special property, Other                ","31      ","  ","WILSON                   ","  ","PARK","                                        ","  ","                         ","  ","    "
"21-0006363","0","02/03/2021","20:45:49","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","429 ","Multifamily dwelling                              ","4-6     ","  ","ESMOND                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006364","0","02/03/2021","20:50:13","522 ","Water or steam leak                               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","429 ","Multifamily dwelling                              ","82      ","  ","CHESTNUT                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006365","0","02/03/2021","21:09:29","553 ","Public service                                    ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","128     ","  ","BROOK                    ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006366","0","02/03/2021","21:11:37","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","439 ","Boarding/rooming house, residential hotels        ","491     ","  ","HUNTINGTON               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006367","0","02/03/2021","21:16:40","554 ","Assist invalid                                    ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","419 ","1 or 2 family dwelling                            ","270     ","  ","GEORGETOWNE              ","  ","DR  ","                                        ","  ","                         ","  ","    "
"21-0006368","0","02/03/2021","21:17:00","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","460 ","Dormitory-type residence, other                   ","592     ","  ","AMERICAN LEGION          ","  ","HWY ",": #INS961                               ","  ","                         ","  ","    "
"21-0006369","0","02/03/2021","21:32:36","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","400 ","Residential, Other                                ","725-743 ","  ","TREMONT                  ","  ","ST  ",": #14-1551                              ","  ","                         ","  ","    "
"21-0006371","0","02/03/2021","21:38:39","113 ","Cooking fire, confined to container               ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","400 ","Residential, Other                                ","30-34   ","  ","SIERRA                   ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0006372","0","02/03/2021","21:42:57","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","400 ","Residential, Other                                ","725-743 ","  ","TREMONT                  ","  ","ST  ",": #14-1551                              ","  ","                         ","  ","    "
"21-0006373","0","02/03/2021","21:46:39","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","439 ","Boarding/rooming house, residential hotels        ","491     ","  ","HUNTINGTON               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006374","0","02/03/2021","21:52:30","600 ","Good intent call, Other                           ","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","519 ","Food and beverage sales, grocery store            ","1100    ","  ","MASSACHUSETTS            ","  ","AVE ",": @STOP & SHOP - 1100 MASSACHUSETTS AVE,","  ","                         ","  ","    "
"21-0006375","0","02/03/2021","22:02:55","552 ","Police matter                                     ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","962 ","Residential street, road or residential driveway  ","        ","  ","COLUMBIA                 ","  ","RD  ","                                        ","  ","BRINSLEY                 ","  ","ST  "
"21-0006378","0","02/03/2021","22:24:00","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","429 ","Multifamily dwelling                              ","6       ","  ","ESMOND                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006379","0","02/03/2021","22:24:49","714 ","Central station, malicious false alarm            ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","429 ","Multifamily dwelling                              ","335     ","S ","HUNTINGTON               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006380","0","02/03/2021","22:25:07","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","429 ","Multifamily dwelling                              ","173     ","  ","COLUMBIA                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0006382","0","02/03/2021","22:44:20","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","899 ","Residential or self-storage units                 ","420     ","  ","RUTHERFORD               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006383","0","02/03/2021","22:52:21","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","354     ","  ","MARKET                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006384","0","02/03/2021","22:55:21","554 ","Assist invalid                                    ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","120     ","  ","L                        ","  ","ST  ",": @BHA-MSGR POWERS-L STREET             ","  ","                         ","  ","    "
"21-0006385","0","02/03/2021","22:56:07","445 ","Arcing, shorted electrical equipment              ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","419 ","1 or 2 family dwelling                            ","704     ","E ","FIFTH                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006386","0","02/03/2021","23:02:40","600 ","Good intent call, Other                           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","922 ","Tunnel                                            ","426     ","  ","WASHINGTON               ","  ","ST  ",": @MBTA STA-DOWNTOWN CROSSING ORG       ","  ","                         ","  ","    "
"21-0006387","0","02/03/2021","23:06:24","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","331 ","Hospital - medical or psychiatric                 ","300     ","  ","LONGWOOD                 ","  ","AVE ",": #21-2357:                             ","  ","                         ","  ","    "
"21-0006388","0","02/03/2021","23:17:07","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","962 ","Residential street, road or residential driveway  ","678     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006389","0","02/03/2021","23:18:16","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","419 ","1 or 2 family dwelling                            ","60      ","  ","LITCHFIELD               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006390","0","02/03/2021","23:19:10","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","429 ","Multifamily dwelling                              ","82      ","  ","CHESTNUT                 ","  ","ST  ",": #WYN6139                              ","  ","                         ","  ","    "
"21-0006393","0","02/04/2021","00:14:17","553 ","Public service                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","960 ","Street, Other                                     ","60      ","  ","SCHOOL                   ","  ","ST  ",": @HOTEL-OMNI-PARKER HOUSE - 60 SCHOOL S","  ","                         ","  ","    "
"21-0006394","0","02/04/2021","00:40:35","553 ","Public service                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","100 ","Assembly, Other                                   ","215     ","  ","CHARLES                  ","  ","ST  ",": @HOTEL-LIBERTY HOTEL - 215 CHARLES ST,","  ","                         ","  ","    "
"21-0006395","0","02/04/2021","01:02:16","522 ","Water or steam leak                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02163     ","200 ","Educational, Other                                ","15      ","  ","HARVARD                  ","  ","WAY ",": #HAR317                               ","  ","                         ","  ","    "
"21-0006396","0","02/04/2021","01:07:08","113 ","Cooking fire, confined to container               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","20      ","  ","LEICESTER                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006398","0","02/04/2021","01:25:32","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","419 ","1 or 2 family dwelling                            ","104     ","  ","CHESTNUT                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006399","0","02/04/2021","01:45:30","424 ","Carbon monoxide incident                          ","0.0000","0.0000","08   ","HP             ","Hyde Park                                         ","02126     ","419 ","1 or 2 family dwelling                            ","7       ","  ","PARKER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006401","0","02/04/2021","02:28:21","554 ","Assist invalid                                    ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","419 ","1 or 2 family dwelling                            ","55      ","  ","HALIFAX                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006403","0","02/04/2021","03:25:46","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","12   ","JP             ","Jamaica Plain                                     ","02130     ","174 ","Rapid transit station                             ","3699    ","  ","WASHINGTON               ","  ","ST  ",": #33-2537                              ","  ","                         ","  ","    "
"21-0006404","0","02/04/2021","03:40:51","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","429 ","Multifamily dwelling                              ","190     ","  ","COMMERCIAL               ","  ","ST  ",": #12-1251                              ","  ","                         ","  ","    "
"21-0006405","0","02/04/2021","04:10:10","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","439 ","Boarding/rooming house, residential hotels        ","472     ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006406","0","02/04/2021","04:44:30","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","439 ","Boarding/rooming house, residential hotels        ","472     ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006407","0","02/04/2021","05:06:20","553 ","Public service                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","300 ","Health care, detention, & correction, Other       ","200     ","  ","NASHUA                   ","  ","ST  ",": @SUFF-SUFFOLK COUNTY JAIL             ","  ","                         ","  ","    "
"21-0006408","0","02/04/2021","05:40:25","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","900 ","Outside or special property, Other                ","40      ","  ","DALTON                   ","  ","ST  ",": @HOTEL-HILTON BACK BAY - 40 DALTON ST,","  ","                         ","  ","    "
"21-0006411","0","02/04/2021","06:15:07","413 ","Oil or other combustible liquid spill             ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","900 ","Outside or special property, Other                ","        ","  ","BROOKLINE                ","  ","AVE ","                                        ","  ","RIVERWAY                 ","  ","    "
"21-0006413","0","02/04/2021","07:12:04","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","118     ","  ","WEBSTER                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006414","0","02/04/2021","07:15:12","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","962 ","Residential street, road or residential driveway  ","        ","  ","WINCHESTER               ","  ","ST  ","                                        ","  ","ARLINGTON                ","  ","ST  "
"21-0006415","0","02/04/2021","07:43:44","554 ","Assist invalid                                    ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","11      ","  ","WOODCLIFF                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006417","0","02/04/2021","07:49:18","440 ","Electrical  wiring/equipment problem, Other       ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","962 ","Residential street, road or residential driveway  ","        ","  ","HALE                     ","  ","ST  ","                                        ","  ","GORDON                   ","  ","AVE "
"21-0006424","0","02/04/2021","08:43:47","511 ","Lock-out                                          ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","419 ","1 or 2 family dwelling                            ","212     ","  ","RIVER                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006425","0","02/04/2021","08:50:55","554 ","Assist invalid                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","1190    ","  ","ADAMS                    ","  ","ST  ",": @LTC-STANDISH VILLAGE AT LOWER MILLS  ","  ","                         ","  ","    "
"21-0006426","0","02/04/2021","08:59:44","744 ","Detector activation, no fire - unintentional      ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","400 ","Residential, Other                                ","735     ","  ","SHAWMUT                  ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006430","0","02/04/2021","09:42:21","740 ","Unintentional transmission of alarm, Other        ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","400 ","Residential, Other                                ","305     ","  ","DUDLEY                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006431","0","02/04/2021","09:47:40","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","1148    ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006432","0","02/04/2021","09:49:45","500 ","Service Call, other                               ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","400 ","Residential, Other                                ","65      ","  ","MONTEBELLO               ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0006434","0","02/04/2021","10:18:09","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","434     ","  ","MARLBOROUGH              ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006436","0","02/04/2021","10:22:34","553 ","Public service                                    ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02124     ","400 ","Residential, Other                                ","828     ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006437","0","02/04/2021","10:26:08","900T","BFD Drill                                         ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","400 ","Residential, Other                                ","95      ","  ","ATHERTON                 ","  ","ST  ",": @BFD ENG 42 (TEMP QUARTERS) - 95 ATHER","  ","                         ","  ","    "
"21-0006441","0","02/04/2021","10:48:58","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","400 ","Residential, Other                                ","1145    ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006442","0","02/04/2021","11:01:11","522 ","Water or steam leak                               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","891 ","Warehouse                                         ","258     ","  ","HUNTINGTON               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0006443","0","02/04/2021","11:14:32","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","300 ","Health care, detention, & correction, Other       ","35      ","  ","KNEELAND                 ","  ","ST  ",": #13-1491                              ","  ","                         ","  ","    "
"21-0006444","0","02/04/2021","11:17:49","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","419 ","1 or 2 family dwelling                            ","74      ","  ","HIGHLAND                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006446","0","02/04/2021","11:24:53","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","900 ","Outside or special property, Other                ","        ","  ","ISLAND                   ","  ","ST  ","                                        ","  ","READING                  ","  ","ST  "
"21-0006447","0","02/04/2021","11:25:28","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","400 ","Residential, Other                                ","143     ","W ","CANTON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006448","0","02/04/2021","11:28:01","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","705-723 ","  ","TREMONT                  ","  ","ST  ",": #13-1551                              ","  ","                         ","  ","    "
"21-0006449","0","02/04/2021","11:41:43","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","89      ","  ","STRATHMORE               ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0006450","0","02/04/2021","11:49:01","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","429 ","Multifamily dwelling                              ","857     ","  ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006451","0","02/04/2021","12:07:13","522 ","Water or steam leak                               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","429 ","Multifamily dwelling                              ","190     ","  ","COMMERCIAL               ","  ","ST  ",": #12-1251                              ","  ","                         ","  ","    "
"21-0006452","0","02/04/2021","12:13:58","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","    ","","1       ","  ","AUTUMN                   ","  ","LN  ","                                        ","  ","                         ","  ","    "
"21-0006455","0","02/04/2021","12:26:10","731 ","Sprinkler activation due to malfunction           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","400 ","Residential, Other                                ","150     ","  ","STANIFORD                ","  ","ST  ",": #13-1342                              ","  ","                         ","  ","    "
"21-0006457","0","02/04/2021","12:40:34","600 ","Good intent call, Other                           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","960 ","Street, Other                                     ","        ","  ","CAMBRIDGE                ","  ","ST  ","                                        ","  ","IRVING                   ","  ","ST  "
"21-0006459","0","02/04/2021","12:45:53","522 ","Water or steam leak                               ","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02120     ","173 ","Bus station                                       ","249     ","  ","RUGGLES                  ","  ","ST  ",": @MBTA STA-RUGGLES                     ","  ","                         ","  ","    "
"21-0006460","0","02/04/2021","12:48:50","700 ","False alarm or false call, Other                  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","400 ","Residential, Other                                ","12      ","  ","PIEDMONT                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006461","0","02/04/2021","13:09:24","553 ","Public service                                    ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","960 ","Street, Other                                     ","85      ","  ","SOUTHAMPTON              ","  ","ST  ",": @ALLTOWN ROXBURY - 85 SOUTHAMPTON ST, ","  ","                         ","  ","    "
"21-0006463","0","02/04/2021","13:19:28","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","    ","","179     ","W ","NINTH                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0006464","0","02/04/2021","13:19:41","113 ","Cooking fire, confined to container               ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","400 ","Residential, Other                                ","44      ","  ","JOHN ELIOT               ","  ","SQ  ","                                        ","  ","                         ","  ","    "
